service_date,mode,route_or_line,total_monthly_ridership,countofdates,average_monthly_ridership,ObjectId
2019-08-01T04:00:00.000Z,Ferry,Boat-F4,79491,22,3613.2,437
2019-08-01T04:00:00.000Z,Rail,Blue Line,1616173,22,73462.4,438
2019-08-01T04:00:00.000Z,Rail,Green Line,3232914,22,146950.6,439
2019-08-01T04:00:00.000Z,Rail,Orange Line,4239128,22,192687.6,440
2019-08-01T04:00:00.000Z,Rail,Red Line,4880100,22,221822.7,441
2019-08-01T04:00:00.000Z,The RIDE,The RIDE,126310,22,5741.4,442
2019-09-01T04:00:00.000Z,Bus,Bus,7479428,20,373971.4,443
2019-09-01T04:00:00.000Z,Bus,Silver Line,738886,20,36944.3,444
2019-09-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2416473,20,120823.7,445
2019-09-01T04:00:00.000Z,Ferry,Boat-F1,83662,20,4183.1,446
2019-09-01T04:00:00.000Z,Ferry,Boat-F4,51609,20,2580.5,447
2019-09-01T04:00:00.000Z,Rail,Blue Line,1528456,20,76422.8,448
2019-09-01T04:00:00.000Z,Rail,Green Line,3179038,20,158951.9,449
2019-09-01T04:00:00.000Z,Rail,Orange Line,4311143,20,215557.2,450
2019-09-01T04:00:00.000Z,Rail,Red Line,4915753,20,245787.7,451
2019-09-01T04:00:00.000Z,The RIDE,The RIDE,121197,20,6059.9,452
